File Path,Label
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_6.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_7.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_5.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_4.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_0.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_1.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_3.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_2.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_14.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_15.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_17.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_16.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_12.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_13.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_11.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_10.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_18.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_19.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_9.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.54.58/aug_8.png,Screenshot 2024-08-05 at 17.54.58
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_6.png,Screenshot 2024-08-05 at 17.50.57
