manufacturer,name,index,fitting_cross
Nikon,Presio W,1.5 index 12mm corridor,2 mm,
Nikon,Presio W,1.67 index 12mm corridor,2 mm,
Nikon,Presio W,1.74 index 12mm corridor,2 mm,
Nikon,Presio W,1.5 index 14mm corridor,2 mm,
Nikon,Presio W,1.67 index 14mm corridor,2 mm,
Nikon,Presio W,1.74 index 14mm corridor,2 mm,
Nikon,Presio i,1.5 index 13mm corridor,2 mm,
Nikon,Presio i,1.6 index 13mm corridor,2 mm,
Nikon,Presio i,1.67 index 13mm corridor,2 mm,
Nikon,Presio i,1.74 index 13mm corridor,2 mm,
Nikon,Presio i,1.5 index 15mm corridor,2 mm,
Nikon,Presio i,1.6 index 15mm corridor,2 mm,
Nikon,Presio i,1.67 index 15mm corridor,2 mm,
Nikon,Presio i,1.74 index 15mm corridor,2 mm,
Nikon,Seemax,1.6 index 12mm corridor,2 mm,
Nikon,Seemax,1.67 index 12mm corridor,2 mm,
Nikon,Seemax,1.74 index 12mm corridor,2 mm,
Nikon,Seemax,1.6 index 14mm corridor,2 mm,
Nikon,Seemax,1.67 index 14mm corridor,2 mm,
Nikon,Seemax,1.74 index 14mm corridor,2 mm,
Nikon,Move 2,1.5 index,2 mm,
Nikon,Move 2,1.6 index,2 mm,
Nikon,Move 2,1.67 index,2 mm,
Nikon,Presio i Digital,1.6 index,13mm corridor,
Nikon,Presio i Digital,1.6 index,15mm corridor,
Nikon,Seemax Power,1.6 index,12mm,
Nikon,Seemax Power,1.6 index,13mm,
Nikon,Seemax Power,1.6 index,14mm,
Nikon,Seemax Power,1.67 index,12mm,
Nikon,Seemax Power,1.67 index,13mm,
Nikon,Seemax Power,1.67 index,14mm,
Nikon,Seemax Power,1.74 index,12mm,
Nikon,Seemax Power,1.74 index,13mm,
Nikon,Seemax Power,1.74 index,14mm,
Nikon,Presio Power,1.5 index,12mm,
Nikon,Presio Power,1.5 index,13mm,
Nikon,Presio Power,1.5 index,14mm,
Nikon,Presio Power,1.6 index,12mm,
Nikon,Presio Power,1.6 index,13mm,
Nikon,Presio Power,1.6 index,14mm,
Nikon,Presio Power,1.67 index,12mm,
Nikon,Presio Power,1.67 index,13mm,
Nikon,Presio Power,1.67 index,14mm,
Nikon,Presio Power,1.74 index,12mm,
Nikon,Presio Power,1.74 index,13mm,
Nikon,Presio Power,1.74 index,14mm,
Nikon,DigiLife,1.5 index,10mm,
Nikon,DigiLife,1.5 index,12mm,
Nikon,DigiLife,1.5 index,14mm,
Nikon,DigiLife,1.6 index,10mm,
Nikon,DigiLife,1.6 index,12mm,
Nikon,DigiLife,1.6 index,14mm,
Nikon,DigiLife,1.67 index,10mm,
Nikon,DigiLife,1.67 index,12mm,
Nikon,DigiLife,1.67 index,14mm,
Nikon,DigiLife,1.74 index,10mm,
Nikon,DigiLife,1.74 index,12mm,
Nikon,DigiLife,1.74 index,14mm,
Nikon,Presio Balance,1.5 index,10mm,
Nikon,Presio Balance,1.5 index,12mm,
Nikon,Presio Balance,1.5 index,14mm,
Nikon,Presio Balance,1.6 index,10mm,
Nikon,Presio Balance,1.6 index,12mm,
Nikon,Presio Balance,1.6 index,14mm,
Nikon,Presio Balance,1.67 index,10mm,
Nikon,Presio Balance,1.67 index,12mm,
Nikon,Presio Balance,1.67 index,14mm,
Nikon,Presio Balance,1.74 index,10mm,
Nikon,Presio Balance,1.74 index,12mm,
Nikon,Presio Balance,1.74 index,14mm,
