manufacturer,name,corridor length, minimum fitting height, minimum frame depth
Rodenstock,Impression FreeSign,13-24 mm1,15-26 mm1,23-34 mm1,
Rodenstock,Impression Variable,14-18 mm1,16-20 mm,24 mm,
Rodenstock,Impression ,18 mm,20 mm,26 mm,
Rodenstock,Impression M,16 mm,18 mm,24 mm,
Rodenstock,Impression,14 mm,16 mm,28 mm,
Rodenstock,Impression High-Power,14 mm,18 mm,28 mm,
Rodenstock,Impression Myopia XS,14 mm,16 mm,24 mm,
Rodenstock,Multigressiv My View L,18 mm,20 mm,28 mm,
Rodenstock,Multigressiv My View M,16 mm,18 mm,26 mm,
Rodenstock,Multigressiv My View XS,14 mm,16 mm,24 mm,
Rodenstock,Progressiv PureLife,18 mm,20 mm,28 mm,
Rodenstock,Progressiv PureLife L,14 mm,16 mm,24 mm,
Rodenstock,Progressiv PureLife XS,18 mm,20 mm,28 mm,
Rodenstock,Progressiv Lite Free L,16 mm,18 mm,24 mm,
Rodenstock,Progressiv Lite Free XS,18 mm,20 mm,28 mm,
Rodenstock,Progressiv Young Life Free,14 mm,16 mm,24 mm,
Rodenstock,Progressiv Young Life Free XS,18 mm,20 mm,28 mm,
Rodenstock,Impression Ergo FS,14-22 mm1,21-32 mm1,25-36 mm1,
Rodenstock,Impression Ergo Book,16-20 mm1,22-26 mm1,26-30 mm1,
Rodenstock,Impression Ergo PC,16-20 mm1,22-26 mm1,26-30 mm1,
Rodenstock,Impression Ergo Room,16-20 mm1,22-26 mm1,24-28 mm1,
Rodenstock,Multigressiv Ergo Book,16 mm,22 mm,26 mm,
Rodenstock,Multigressiv Ergo PC,20 mm,26 mm,30 mm,
Rodenstock,Multigressiv Ergo Room,20 mm,24 mm,28 mm,
Rodenstock,Nexyma 40,13 mm,19 mm,23 mm,
Rodenstock,Nexyma 80,20 mm,26 mm,30 mm,
Rodenstock,Nexyma 80,20 mm,26 mm,30 mm,
