manufacturer,name,index,fitting_cross
Essilor,Computer 3V,,,
Essilor,Comfort New Edition,1.5 index,,
Essilor,Comfort New Edition,1.6 index,,
Essilor,Comfort New Edition,1.59 index,,
Essilor,Comfort New Edition,1.67 index,,
Essilor,Comfort New Edition Short,1.5 index,,
Essilor,Comfort New Edition Short,1.6 index,,
Essilor,Comfort New Edition Short,1.59 index,,
Essilor,Comfort New Edition Xperio,1.59 index,,
Essilor,Ipseo New Edition,1.5 index,,
Essilor,Ipseo New Edition,1.6 index,,
Essilor,Ipseo New Edition,1.67 index,,
Essilor,Ipseo New Edition,1.59 index,,
Essilor,Ipseo New Edition,1.74 index,,
Essilor,Varilux Liberty Short,1.5 index,,
Essilor,Varilux Liberty Short,1.6 index,,
Essilor,Varilux Physio,1.6 index,,
Essilor,Varilux Physio,1.74 index,,
Essilor,Varilux Physio Short,1.5 index,,
Essilor,Varilux Physio Short,1.6 index,,
Essilor,Varilux Physio Short,1.59 index,,
Essilor,Varilux Physio Short,1.67 index,,
Essilor,Varilux Physio Short,1.74 index,,
Essilor,Varilux Sport,,,
Essilor,Varilux Ultra,1.5 index,,
Essilor,Varilux Ultra,1.6 index,,
Essilor,Varilux Ultra,1.59 index,,
Essilor,Varilux Ultra,1.67 index,,
Essilor,Varilux Ultra Short,1.5 index,,
Essilor,Varilux Ultra Short,1.6 index,,
Essilor,Varilux Ultra Short,1.59 index,,
Essilor,Varilux S Design,Stylis 1.67,,
Essilor,Varilux S Design,Ormix 1.6,,
Essilor,Varilux S Design,Airwear 1.59,,
Essilor,Varilux S Design,Orma 1.5,,
Essilor,Varilux S Design Short,Stylis 1.67,,
Essilor,Varilux S Design Short,Ormix 1.6,,
Essilor,Varilux S Design Short,Airwear 1.59,,
Essilor,Varilux S Design Short,Orma 1.5,,
Essilor,Varilux S 2,Stylis 1.67,,
Essilor,Varilux S 2,Ormix 1.6,,
Essilor,Varilux S 2,Airwear 1.59,,
Essilor,Varilux S 2,Orma 1.5,,
Essilor,Varilux S 4D,Stylis 1.67,,
Essilor,Varilux S 4D,Ormix 1.6,,
Essilor,Varilux S 4D,Airwear 1.59,,
Essilor,Varilux S 4D,Orma 1.5,,
Essilor,Varilux Ellipse,1.5 index,4 mm
Essilor,Varilux Ellipse,Polycarbonate,4 mm
Essilor,Varilux Ellipse,1.67 index,4 mm
Essilor,Varilux Liberty,1.5 index,4 mm
Essilor,Varilux Liberty,Polycarbonate,4 mm
Essilor,Varilux Liberty,1.6 (glass),4 mm
Essilor,Varilux Liberty,1.8 (glass),4 mm
Essilor,Varilux Physio,1.5 index,4 mm
Essilor,Varilux Physio,Polycarbonate,4 mm
Essilor,Varilux Physio,1.67 index,4 mm
Essilor,Varilux Physio f-360,1.5 index,4 mm
Essilor,Varilux Physio f-360,Polycarbonate,4 mm
Essilor,Varilux Physio f-360,1.60 index,4 mm
Essilor,Varilux Physio f-360,1.67 index,4 mm
Essilor,Varilux Physio f-360,1.74 index,4 mm
Essilor,Varilux Omega,,0 mm
Essilor,Interview,,0 mm
Essilor,Computer 2V,,0 mm
Essilor,Computer 3V,,0 mm
Essilor,Anti-Fatigue,,0 mm






