manufacturer,name,index,property, 
Seiko,Sportstech,,Inner Surface Aspheric,
Seiko,INDI-SV White & Transitions,1.67 index,Individualised Inner Surface Aspheric,
Seiko,INDI-SV Tribrid White & Transitions,,Individualised Inner Surface Aspheric,
Seiko,INDI-SV White,1.60 index, Transitions & Polarising Individualised Inner Surface Aspheric,
Seiko,INDI-SV  White,1.50 index,Transitions Polarising & DriveWear Individualised Inner Surface Aspheric,
Seiko,AZ ,1.74 index,Double Aspheric,
Seiko,A-ZONE ,1.74 index,Double Aspheric,
Seiko,AZ White & Transitions,1.67 index,Double Aspheric,
Seiko,A-ZONE ,1.67 index,Double Aspheric,
Seiko,AZ 1.60 White & Transitions,1.60 index,Double Aspheric,
Seiko,A-ZONE ,1.60 index,Double Aspheric,
Seiko, AS Transitions,1.74 index,Aspheric,
Seiko, AS,1.74 index,Aspheric,
Seiko, AS White & Transitions,1.67 index,Aspheric,
Seiko,AS,1.60 index,Aspheric,
Seiko,White & Transitions,1.67 index,Spherical,
Seiko,Tribrid White & Transitions,,Spherical,
Seiko,White, 1.60 index,Transitions & Polarising Spherical,
Seiko,White,1.50 index Transitions, DriveWear & Polarising Spherical,
Seiko,SUPERIOR, 1.74 index,Individualised inner surface progressive,
Seiko,SUPERIOR White & Transitions,1.67 index,Individualised inner surface progressive,
Seiko,SUPERIOR White & Transitions,1.60 index,Individualised inner surface progressive,
Seiko,NEO ,1.74 index,Individualised inner surface progressive,
Seiko,NEO White & Transitions,1.67 index,Individualised inner surface progressive,
Seiko,NEO White & Transitions,1.60 index,Individualised inner surface progressive,
Seiko,EMBLEM XtraWide ,1.74 index,Inner surface progressive,
Seiko,EMBLEM XtraWide White & Transitions,1.67 index,Inner surface progressive,
Seiko,EMBLEM XtraWide Tribrid White & Transitions,,Inner surface progressive,
Seiko,EMBLEM XtraWide White, 1.60 index,Transitions & Polarising Inner surface progressive,
Seiko,EMBLEM XtraWide White,1.50 index, Transitions Polarising & DriveWear Inner surface progressive,
Seiko,SYNERGY Xtra ,1.74 index,Inner surface progressive,
Seiko,SYNERGY Xtra White & Transitions,1.67 index,Inner surface progressive,
Seiko,SYNERGY Xtra Tribrid White & Transitions,,Inner surface progressive,
Seiko,SYNERGY Xtra White,1.60 index, Transitions & Polarising Inner surface progressive,
Seiko,SYNERGY Xtra White, 1.50 index, Transitions Polarising & DriveWear Inner surface progressive
Seiko,VSX White & Transitions,1.67 Index,Inner Surface Progressive,
Seiko,VSX White,1.60 index, Transitions & Polarising Inner Surface Progressive,
Seiko,VSX White,1.50 index,Transitions Polarising & DriveWear Inner Surface Progressive,
Seiko,WING ,1.67 index,Inner Surface Progressive
Seiko,WING ,1.60 index,Inner Surface Progressive,
Seiko,WING ,1.50 index,Inner Surface Progressive,
Seiko,EXTENSIVE VISION White & Transitions,1.67 index,Inner Surface Progressive,
Seiko,EXTENSIVE VISION White & Transitions,1.60 index,Inner Surface Progressive,
Seiko,INDOOR,1.67 index,Inner Surface Progressive,
Seiko,INDOOR ,1.60 index,Inner Surface Progressive,
Seiko,COMPUTER Xtra ,1.67 index,Inner Surface Progressive,
Seiko,COMPUTER Xtra Tribrid,,Inner Surface Progressive,
Seiko,COMPUTER Xtra ,1.60 index,Inner Surface Progressive,
Seiko,COMPUTER Xtra ,1.50 index,Inner Surface Progressive,
