name,index,manufacturer
ZEISS Progressive Individual 2,1.5 index,Zeiss,
ZEISS Progressive Individual 2,1.6 index,Zeiss,
ZEISS Progressive Individual 2,1.67 index,Zeiss,
ZEISS Progressive Individual 2,1.74 index,Zeiss,
ZEISS Progressive Individual Mineral,1.6 index,Zeiss,
ZEISS Progressive Superb,1.5 index,Zeiss,
ZEISS Progressive Superb,1.6 index,Zeiss,
ZEISS Progressive Superb,1.67 index,Zeiss,
ZEISS Progressive Superb,1.74 index,Zeiss,
ZEISS Progressive Plus 2,1.5 index,Zeiss,
ZEISS Progressive Plus 2,1.6 index,Zeiss,
ZEISS Progressive Plus 2,1.67 index,Zeiss,
ZEISS Progressive Plus 2,1.74 index,Zeiss,
ZEISS Progressive Plus 2 Short,1.5 index,Zeiss,
ZEISS Progressive Plus 2 Short,1.6 index,Zeiss,
ZEISS Progressive Plus 2 Short,1.67 index,Zeiss,
ZEISS Progressive Plus 2 Short,1.74 index,Zeiss,
ZEISS Progressive Plus Mineral,1.6 index,Zeiss,
ZEISS Progressive Plus Mineral,1.8 index,Zeiss,
ZEISS officelens Individual,1.5 index,Zeiss,
ZEISS officelens Individual,1.6 index,Zeiss,
ZEISS officelens Individual,1.67 index,Zeiss,
ZEISS officelens Individual,1.74 index,Zeiss,
ZEISS officelens Superb,1.5 index,Zeiss,
ZEISS officelens Superb,1.6 index,Zeiss,
ZEISS officelens Superb,1.67 index,Zeiss,
ZEISS officelens Superb,1.74 index,Zeiss,
ZEISS officelens Plus,1.5 index,Zeiss,
ZEISS officelens Plus,1.6 index,Zeiss,
ZEISS officelens Plus,1.67 index,Zeiss,
ZEISS officelens Plus,1.74 index,Zeiss,
ZEISS officelens Plus Short,1.5 index,Zeiss,
ZEISS officelens Plus Short,1.6 index,Zeiss,
ZEISS officelens Plus Short,1.67 index,Zeiss,
ZEISS officelens Plus Short,1.74 index,Zeiss,
ZEISS officelens Plus Mineral,1.6 index,Zeiss,
ZEISS Single Vision Individual,1.5 index,Zeiss,
ZEISS Single Vision Individual,1.6 index,Zeiss,
ZEISS Single Vision Individual,1.67 index,Zeiss,
ZEISS Single Vision Individual,1.74 index,Zeiss,
ZEISS Single Vision Superb,1.5 index,Zeiss,
ZEISS Single Vision Superb,1.6 index,Zeiss,
ZEISS Single Vision Superb,1.67 index,Zeiss,
ZEISS Single Vision Superb,1.74 index,Zeiss,
ZEISS Digital,1.5 index,Zeiss,
ZEISS Digital,1.6 index,Zeiss,
ZEISS Digital,1.67 index,Zeiss,
ZEISS Digital,1.74 index,Zeiss,
ZEISS Digital,1.8 index,Zeiss,
